   0.0000000000000000                      (2.99999999999999937851740980674524174,1.99999901287595287344671495427260849)
  0.40000000000000002                    (1.42443075721925613604733320521419701,-0.916003417278984834430118293958131927)
  0.80000000000000004             (-1.46354362179408753077942150173714029,-1.074270623320159753615182513668001475E-0002)
   1.2000000000000002                     (-1.05795676237735618180653555992868003,3.22129291731886791192711504572346632)
   1.6000000000000001                      (2.61570685018255421409085932728321885,3.92482295502375986064841000459114924)
   2.0000000000000000                     (4.90211303667308758613172549812676152,0.618033915408217032905700782711173645)
   2.4000000000000004                     (2.92310444280325835439136183020905773,-2.72758865359591709080638305449063666)
   2.8000000000000003                   (-0.462476498982176837491290469543499591,-2.13811845575610628969698463051573702)
   3.2000000000000002                   (-0.617396903705966933665365271507337765,0.911797051753229458909640716619764822)
   3.6000000000000001                      (2.46807741821674531636212396263111668,1.57832150961565378936252199823754452)
   4.0000000000000000                     (4.17557044398844331800314555106515374,-1.61803408212034518209735720617055981)
   4.4000000000000004                     (1.66330000439836246024139039491623305,-4.71272255291659194695076169414169629)
   4.8000000000000007                    (-2.17638460516916112618592822316802931,-3.74758520829118372891372376153200990)
   5.2000000000000002                   (-2.67771755434759105038709565971057142,-0.220873631968106422173752417374443070)
   5.6000000000000005                    (0.190801780257306372554447222200388278,0.993616586226209896644427611059913280)
   6.0000000000000000                     (1.82442939703016682221602359949271987,-1.61803391901054028926134559879220737)
   6.4000000000000004                   (-0.613975578817063036072809517708049384,-4.12801745982639663566728213036214633)
   6.8000000000000007                    (-4.23670514976247684551106355086748709,-2.61491421980836109925533520930858143)
   7.2000000000000002                     (-4.39162550984542310377435572541323252,1.38859324054325811933272377735244798)
   7.6000000000000005                     (-1.06900247228592581086021298250271607,2.97875073572172077120573899348990742)
   8.0000000000000000                     (1.09788701370132108526242557885681160,0.618034114784179951924352463362604143)
   8.4000000000000004                   (-0.761604791087543111338634518173464571,-1.78151581995311163935036440711537606)
   8.8000000000000007                   (-3.79614507486048806532957355784174690,-0.305418403227862341009294888815910003)
   9.2000000000000011                     (-3.39055818785422807256884468895688326,3.51596920632425586090940453044863661)
   9.6000000000000014                     (0.429671382910891570713561062338351929,4.79033590377622917902542756083821405)
   10.000000000000000                      (3.00000017976339150088137216174334971,2.00000000641455279791446749552298870)
   10.400000000000000                    (1.42443094607996638753275247194573203,-0.916003285590482875269880012385275351)
   10.800000000000001             (-1.46354346519272618970459273579854052,-1.074248785472204217240772650641076722E-0002)
   11.200000000000001                     (-1.05795661838528654826563170122459112,3.22129285887440179412520437628351328)
   11.600000000000001                      (2.61570694302779346939537872695819769,3.92482296168356318826547068972777271)
